symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOGL,2021-04-05 00:00:00+00:00,6.765,6.9,6.62,6.9,528416,4.8588572814,4.9558189567,4.7547132599,4.9558189567,528416,0.0,1.0
GOGL,2021-04-06 00:00:00+00:00,6.89,7.09,6.88,6.98,683658,4.9486366104,5.0922835366,4.941454264,5.0132777272,683658,0.0,1.0
GOGL,2021-04-07 00:00:00+00:00,7.11,7.14,6.9699,6.99,635143,5.1066482293,5.1281952682,5.0060235574,5.0204600735,635143,0.0,1.0
GOGL,2021-04-08 00:00:00+00:00,7.05,7.07,6.925,7.05,422250,5.0635541514,5.077918844,4.9737748224,5.0635541514,422250,0.0,1.0
GOGL,2021-04-09 00:00:00+00:00,7.16,7.17,7.04,7.09,507908,5.1425599608,5.1497423071,5.0563718051,5.0922835366,507908,0.0,1.0
GOGL,2021-04-12 00:00:00+00:00,7.01,7.11,6.86,7.11,832783,5.0348247661,5.1066482293,4.9270895714,5.1066482293,832783,0.0,1.0
GOGL,2021-04-13 00:00:00+00:00,6.84,6.99,6.83,6.99,946246,4.9127248788,5.0204600735,4.9055425325,5.0204600735,946246,0.0,1.0
GOGL,2021-04-14 00:00:00+00:00,7.15,7.27,6.98,6.98,858453,5.1353776145,5.2215657703,5.0132777272,5.0132777272,858453,0.0,1.0
GOGL,2021-04-15 00:00:00+00:00,7.24,7.25,7.13,7.19,566990,5.2000187313,5.2072010777,5.1210129219,5.1641069998,566990,0.0,1.0
GOGL,2021-04-16 00:00:00+00:00,7.66,7.74,7.56,7.7,755452,5.5016772765,5.559136047,5.4298538134,5.5304066618,755452,0.0,1.0
GOGL,2021-04-19 00:00:00+00:00,8.13,8.13,7.85,7.85,1053197,5.8392475533,5.8392475533,5.6381418565,5.6381418565,1053197,0.0,1.0
GOGL,2021-04-20 00:00:00+00:00,7.88,8.015,7.735,7.87,1213305,5.6596888954,5.7566505707,5.5555448739,5.6525065491,1213305,0.0,1.0
GOGL,2021-04-21 00:00:00+00:00,8.38,8.3908,8.07,8.12,1327869,6.0188062111,6.0265631452,5.7961534754,5.832065207,1327869,0.0,1.0
GOGL,2021-04-22 00:00:00+00:00,7.98,8.17,7.92,8.12,1385545,5.7315123586,5.8679769385,5.6884182807,5.832065207,1385545,0.0,1.0
GOGL,2021-04-23 00:00:00+00:00,8.23,8.26,8.0594,8.1,567128,5.9110710164,5.9326180554,5.7885401883,5.8177005143,567128,0.0,1.0
GOGL,2021-04-26 00:00:00+00:00,8.38,8.44,8.31,8.31,849780,6.0188062111,6.061900289,5.9685297869,5.9685297869,849780,0.0,1.0
GOGL,2021-04-27 00:00:00+00:00,8.52,8.64,8.4219,8.54,694092,6.1193590595,6.2055472153,6.0489002422,6.1337237522,694092,0.0,1.0
GOGL,2021-04-28 00:00:00+00:00,8.76,8.84,8.55,8.57,925855,6.2917353711,6.3491941416,6.1409060985,6.1552707911,925855,0.0,1.0
